record_no,category,package_path,file_name,size_bytes,sha256
1,Commercial Book / كتاب تجاري,records/01_PROJECT_CIVILIZATION_Book_I_REVOLUTIONARY_MARKET_DOCTRINE/01_PROJECT_CIVILIZATION_Book_I_REVOLUTIONARY_MARKET_DOCTRINE_FINAL_GLOBAL_PUBLISHER_MASTER_EDITION_SERIES_LINKED.docx,01_PROJECT_CIVILIZATION_Book_I_REVOLUTIONARY_MARKET_DOCTRINE_FINAL_GLOBAL_PUBLISHER_MASTER_EDITION_SERIES_LINKED.docx,533373,90abcfca039c4b04b37a51e818542fea66b930c7db28335f8eb93ef697c0660c
2,Commercial Book / كتاب تجاري,records/02_AEGIS_Book_II/02_AEGIS_Book_II_FINAL_GLOBAL_PUBLISHER_MASTER_EDITION_SERIES_LINKED.docx,02_AEGIS_Book_II_FINAL_GLOBAL_PUBLISHER_MASTER_EDITION_SERIES_LINKED.docx,9467019,8e16b0a5ad18ee880eb0a43dcb34951c774e2b891c3a75d38386960bc01ef194
3,Commercial Book / كتاب تجاري,records/03_BEYOND_PROJECT_MANAGEMENT_Book_III/03_BEYOND_PROJECT_MANAGEMENT_Book_III_REVOLUTIONARY_MARKET_DOCTRINE_PUBLICATION_READY.docx,03_BEYOND_PROJECT_MANAGEMENT_Book_III_REVOLUTIONARY_MARKET_DOCTRINE_PUBLICATION_READY.docx,3427844,018379076b1a6c19181ec02e332cc4208bd12a2b26ae716fe2002a340dd721ca
4,Commercial Book / كتاب تجاري,records/04_PROJECT_GOVERNANCE_CONTROL_TOWER_Book_IV/04_PROJECT_GOVERNANCE_CONTROL_TOWER_Book_IV_FINAL_PUBLISHER_READY_REVIEWED.docx,04_PROJECT_GOVERNANCE_CONTROL_TOWER_Book_IV_FINAL_PUBLISHER_READY_REVIEWED.docx,1013485,e2179107057d127aefa12bb46e50843d86322ead85e917f2c71b241bd3446b3d
5,Foundational Paper / الورقة التأسيسية,records/05_Unified_Research_Architecture/03_Main_Manuscript_Unified_Research_Architecture.pdf,03_Main_Manuscript_Unified_Research_Architecture.pdf,532619,1d5c7ba24b017f886c7e15931cf58a0f3630b807203d54ddacca3dfb765df032
6,Research Paper / ورقة بحثية,records/06_Civilizational_Foundations_AEPG/PAPER_01_Civilizational_Foundations_AEPG_Journal_Grade_Manuscript.pdf,PAPER_01_Civilizational_Foundations_AEPG_Journal_Grade_Manuscript.pdf,261857,396e06f5ed22326dce2c3f3ef6409f14925b6d2f0ff35850a19004959a241919
7,Research Paper / ورقة بحثية,records/07_Beyond_Project_Management/PAPER_07_Beyond_Project_Management_Journal_Grade_Manuscript.pdf,PAPER_07_Beyond_Project_Management_Journal_Grade_Manuscript.pdf,256038,cf1a2b8f21afd1d046ad688e2045e80549be70565df89a31e9b8009017c22802
8,Research Paper / ورقة بحثية,records/08_Validation_Architecture/PAPER_08_Validation_Architecture_Journal_Grade_Manuscript.pdf,PAPER_08_Validation_Architecture_Journal_Grade_Manuscript.pdf,257576,0f567612337ac8544bf7bb75690cbe2d3bacc777629c0270a3fe061ad4434817
9,Research Paper / ورقة بحثية,records/09_EPGI_Early_Warning/PAPER_09_EPGI_Early_Warning_Journal_Grade_Manuscript.pdf,PAPER_09_EPGI_Early_Warning_Journal_Grade_Manuscript.pdf,256696,937cf7d10063d8aba579a06365e95cb5eb6e5afabebfacfac3ef876dd4e9961e
10,Research Paper / ورقة بحثية,records/10_Evidence_Reliability_Claims/PAPER_04_Evidence_Reliability_Claims_Journal_Grade_Manuscript.pdf,PAPER_04_Evidence_Reliability_Claims_Journal_Grade_Manuscript.pdf,254533,1f36538381ed321749abb46572fb9476a36301428c5e53a3e49cfd625821ccda
11,Research Paper / ورقة بحثية,records/11_Risk_Adjusted_Infrastructure_Pricing/PAPER_05_Risk_Adjusted_Infrastructure_Pricing_Journal_Grade_Manuscript.pdf,PAPER_05_Risk_Adjusted_Infrastructure_Pricing_Journal_Grade_Manuscript.pdf,257978,2ec8f1df9f2f7e0f7875ea3ca08b3435a6e2f069e09f28f962def9141284e507
12,Research Paper / ورقة بحثية,records/12_Computational_Reference_Architecture/PAPER_06_Computational_Reference_Architecture_Journal_Grade_Manuscript.pdf,PAPER_06_Computational_Reference_Architecture_Journal_Grade_Manuscript.pdf,257078,1597c98986e6cf9ee1722a48f31442a736b9349f4ef6e5b2c34676e58790869b
13,Research Paper / ورقة بحثية,records/13_Governance_Entropy/PAPER_02_Governance_Entropy_Journal_Grade_Manuscript.pdf,PAPER_02_Governance_Entropy_Journal_Grade_Manuscript.pdf,255984,2385a2e339c795609dcca54190536a59d15ca53205fa8313deba3db6d2992196
14,Research Paper / ورقة بحثية,records/14_Propagation_Pressure/PAPER_03_Propagation_Pressure_Journal_Grade_Manuscript.pdf,PAPER_03_Propagation_Pressure_Journal_Grade_Manuscript.pdf,256467,2f1443f39283bfda0c3543893922ac85a9b92f1005e53c47fd2650528972ef59
15,Scientific Book / كتاب علمي,records/15_Book_IV_Engineering_Project_Governance_Intelligence/03_Main_Manuscript_Book_IV_Engineering_Project_Governance_Intelligence.pdf,03_Main_Manuscript_Book_IV_Engineering_Project_Governance_Intelligence.pdf,2895097,f4baf94dff25732378229c9b50fdfafbdaaf6b6e6c643b6396379d75af6ba218
16,Scientific Book / كتاب علمي,records/16_Project_Civilization_Book_I/03_Manuscript_Main_Document_Project_Civilization_Book_I.pdf,03_Manuscript_Main_Document_Project_Civilization_Book_I.pdf,2349963,346e9eb8fe2c0ca8302815fe83afa47d5d1335a241a36efa62f21b7c962abd50
17,Scientific Book / كتاب علمي,records/17_Book_III_AEPG_Beyond_Project_Management/03_Main_Manuscript_Book_III_AEPG_Beyond_Project_Management_Clean.pdf,03_Main_Manuscript_Book_III_AEPG_Beyond_Project_Management_Clean.pdf,1728483,9b5609c432d54ee8377181f560ba6ba2c3be6c951dccfdd907f97d4b5c48b29e
18,Scientific Book / كتاب علمي,records/18_AEGIS_Book_II_Adaptive_Computational_Governance/03_Main_Manuscript_AEGIS_Book_II_Adaptive_Computational_Governance.pdf,03_Main_Manuscript_AEGIS_Book_II_Adaptive_Computational_Governance.pdf,411262,f02bc162ee3150e49c508f17afa411f3c59bbee366ee1852abfe7d7a1fc8a54f
