record_no,package_path,file_name,size_bytes,sha256
1,records/01_PROJECT_CIVILIZATION_Book_I_REVOLUTIONARY_MARKET_DOCTRINE/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2436,95cfde2d477f1fed0aae95eaeb8786378b137edba5900eaef9e8aeba2e1ff1b9
2,records/02_AEGIS_Book_II/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2790,7fb639d1f01f2230e29f842ec1777e53c39acee606ffe01776bdb00d7e2f1fc4
3,records/03_BEYOND_PROJECT_MANAGEMENT_Book_III/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2378,5f154ff44c8ac54b9f053340841d1a32406b0ca2e9b47fcf4c1806148cb8389e
4,records/04_PROJECT_GOVERNANCE_CONTROL_TOWER_Book_IV/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2483,edb003a9c00abb8f1eebc85f07e5deec829c542a178705707fb4463211359541
5,records/05_Unified_Research_Architecture/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2151,c6ab4d283b9bc8d2804364a2b76961f962c590d2fe1540bcfce8ab1792b85b0a
6,records/06_Civilizational_Foundations_AEPG/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2221,491e1f557b80d73165f4785d8ef35934d065e4f98b57df0634b1eefb57e7bea8
7,records/07_Beyond_Project_Management/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2095,e2e361a6c4b0c46474c5bf9f2433b40323f41d9c45e77087a0c03b9ec73799f4
8,records/08_Validation_Architecture/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2215,4b3f82c8a2c2927dde54f683ddc515ca0f50d612dd8eceae922db19799e6dbdb
9,records/09_EPGI_Early_Warning/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2124,805f63f596246f053de4133bf867d5e6a8c7f6b58874b562bd68bccad1538509
10,records/10_Evidence_Reliability_Claims/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2151,c5d37a62cc5633a8a5ed2b1dbdc30d83dc6babf35428fa168b01524c2ba2a5a5
11,records/11_Risk_Adjusted_Infrastructure_Pricing/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2181,908a7bcf49a2e9c884c11df39e040dd62f16d457ce8d19e9e62e35a94bdfc6aa
12,records/12_Computational_Reference_Architecture/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2188,790457624541061602c1f953a2b98ba585fddbd40637bebf6c9d2b7ed8a53ad1
13,records/13_Governance_Entropy/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2122,bbc21a543db91221a002e07ffc069f0df41ae24d9105a37153fadaedc5a9bb95
14,records/14_Propagation_Pressure/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2123,3ed5092b1f3c2c5e8f15f94bd151cfac1ac28feba2c5799dc302de8b2d6be3a0
15,records/15_Book_IV_Engineering_Project_Governance_Intelligence/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2211,76a4f60e1b20a654b98fbf35a0a5da599a40f9cc6cbdd6eb83212e2916eed46a
16,records/16_Project_Civilization_Book_I/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2249,e26cfdcef680deb65fd67d42d286fa4b39ff792d4dc4901bbeea07445f73fddc
17,records/17_Book_III_AEPG_Beyond_Project_Management/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2235,050c4b5b97e504a700ee638186142b101b1aee92941c0f4176e1a5071264a3cd
18,records/18_AEGIS_Book_II_Adaptive_Computational_Governance/zenodo_metadata_draft.json,zenodo_metadata_draft.json,2493,28bbf9f7d44a0ded835eb72925e3906fb4940075da3239cf2fd5ce2d1f693544
